feature,importance
shlta,0.11456589145939663
painfr,0.07604781059314615
comparable_frec,0.06926929601475564
comparable_exp,0.06348436400632966
adlfive,0.05810393879996958
comparable_tgiv,0.058039856914998404
comparable_ipubpen,0.057180549812885256
agey,0.05471203347979289
hlthlm,0.05258735705071825
arthre,0.029815762237626307
child,0.028048285331531364
hhres,0.024052666477361047
ftrkids,0.02390118412061087
ragender,0.021074567368961454
peninc,0.02107316044152938
fall,0.017103174139087778
rural,0.01641523059186192
comparable_hexp,0.01607928983714708
mstath,0.015730579772126236
ftrsp,0.013928890876398706
hibpe,0.013263588221471572
socwk,0.013260127296766561
work,0.012420217971950838
smokev,0.01228770879841666
pubpen,0.012030061415398845
lvnear,0.011958756349853656
drinkev,0.011849217132548889
lunge,0.011514622286129404
hearte,0.010792438987063347
comparable_itearn,0.010641894972581788
kcntf,0.010581148963267329
raeducl,0.009920579694301986
stayhospital,0.008700269442984158
diabe,0.005945511002788033
stroke,0.004169853833167194
momliv,0.003063151770305552
livere,0.0028070331657565548
radadeducl,0.0012276206570185088
dadliv,0.0010102029980220098
cancre,0.0008949337309815167
hipriv,0.00034584677248525086
ramomeducl,0.00010132521050565141
cesd,0.0
