feature,importance
shlta,0.21709769074525465
painfr,0.20526064882197778
adlfive,0.11795493297391313
hlthlm,0.11038910639352595
peninc,0.051307370478783886
ftrkids,0.04677330735842474
ragender,0.038111754861013473
arthre,0.03332325317721801
comparable_ipubpen,0.028931723932532072
comparable_frec,0.020794686337525306
fall,0.020651062694916584
agey,0.01868978396352026
comparable_exp,0.015361121865898867
rural,0.013667630605214982
ftrsp,0.013498777645628094
comparable_hexp,0.006678081830957559
lunge,0.006529842293230976
raeducl,0.006142385870266598
comparable_tgiv,0.005865818639368837
stayhospital,0.004808719224283479
pubpen,0.004077011858404316
work,0.003403938393352276
child,0.0033093257032180425
hearte,0.002328623187519933
hhres,0.002247650212788252
dadliv,0.0012823724981543255
socwk,0.0010702245191419163
stroke,0.00022476804059061252
mstath,0.00021838587337526485
comparable_itearn,0.0
livere,0.0
hibpe,0.0
diabe,0.0
cancre,0.0
momliv,0.0
hipriv,0.0
drinkev,0.0
smokev,0.0
kcntf,0.0
lvnear,0.0
ramomeducl,0.0
radadeducl,0.0
