feature,importance
shlta,0.22311805581006847
painfr,0.14898930203377528
adlfive,0.11601350773593916
hlthlm,0.10631820657086093
arthre,0.0553712517475044
peninc,0.04603816155546535
ragender,0.03179189128766206
ftrkids,0.030259364587759515
fall,0.023932015011752662
rural,0.021822819517339595
pubpen,0.020818104719294378
raeducl,0.019906721560520427
mstath,0.013098790487826438
lunge,0.013057222162568861
stayhospital,0.012356101220783275
ftrsp,0.011790203384851379
smokev,0.010250643674106509
hearte,0.010195219411905349
work,0.007496076938759077
socwk,0.006520345987117169
drinkev,0.006025956958815608
agey,0.005328182555314624
hibpe,0.005165192047618676
stroke,0.004760367536658842
lvnear,0.004727926743051364
diabe,0.004701673885008416
kcntf,0.004636744507469724
hhres,0.004010617203657744
child,0.003851991584156723
comparable_ipubpen,0.0034452392682285866
radadeducl,0.002980071333810438
livere,0.0029017396201367666
comparable_frec,0.002828726173552203
comparable_exp,0.002488836424591627
momliv,0.0022887109074886036
comparable_tgiv,0.002139595509676117
cancre,0.00210458555507686
comparable_hexp,0.0017905605849987591
dadliv,0.0016340966100456358
comparable_itearn,0.0012707767680992961
hipriv,0.001253602499524273
ramomeducl,0.0005208003171589452
